epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2071,1.69942,4.57007,1.39634,0.00258,0.83333,0.24416,0.13291,1.35189,4.77187,1.10778,0.0001625,0.0001625,0.0001625
2,84.7003,1.45322,3.10247,1.1688,0.00407,1,0.56987,0.38309,1.29347,4.37897,1.08676,0.000330818,0.000330818,0.000330818
3,126.089,1.37401,2.43873,1.17465,0.00336,1,0.59342,0.22052,1.10514,4.32109,0.9979,0.000492205,0.000492205,0.000492205
4,167.362,1.25084,1.97341,1.0936,0.00372,1,0.97437,0.69348,1.02223,3.74298,0.92802,0.000646662,0.000646662,0.000646662
5,209.335,1.14581,1.76074,1.05994,0.00371,1,0.95333,0.64044,1.08517,3.49185,0.97401,0.00079419,0.00079419,0.00079419
6,250.834,1.14763,1.60625,1.05568,0.76791,1,0.91208,0.69116,0.9764,3.25494,0.94488,0.000934788,0.000934788,0.000934788
7,292.25,1.13318,1.53119,1.03974,0.83852,0.75,0.995,0.74496,0.98219,2.77991,0.94903,0.00106846,0.00106846,0.00106846
8,333.556,1.09756,1.63158,1.02885,0.82037,0.93811,0.95333,0.61988,1.1394,2.24105,1.02022,0.00107675,0.00107675,0.00107675
9,374.515,1.08971,1.51064,1.04814,0.79165,0.96217,0.95333,0.70043,1.06368,1.94611,0.98765,0.001052,0.001052,0.001052
10,415.57,1.04231,1.34904,1.00005,0.86226,0.96817,0.95333,0.72138,1.0269,1.60645,0.99114,0.00102725,0.00102725,0.00102725
11,457.673,1.0111,1.31629,1.0046,0.83865,0.99123,0.995,0.73547,1.01368,1.69091,0.97378,0.0010025,0.0010025,0.0010025
12,503.226,1.02185,1.2354,0.98677,0.88079,1,0.995,0.77124,0.92549,1.51673,0.94538,0.00097775,0.00097775,0.00097775
13,548.809,1.00555,1.22922,0.99454,0.84273,0.99306,0.995,0.71201,1.116,1.51146,1.01775,0.000953,0.000953,0.000953
14,593.408,1.03187,1.17156,0.99613,0.87019,1,0.995,0.75734,0.89956,1.26899,0.94586,0.00092825,0.00092825,0.00092825
15,638.205,0.97746,1.10247,0.97472,0.90519,1,0.995,0.78235,0.91684,1.29128,0.93863,0.0009035,0.0009035,0.0009035
16,682.498,1.02119,1.13189,1.00273,0.88076,0.99264,0.95333,0.74339,0.9121,1.15556,0.94549,0.00087875,0.00087875,0.00087875
17,729.795,0.98873,1.03789,0.98187,0.86676,0.99316,0.95333,0.75062,0.93269,1.14625,0.9617,0.000854,0.000854,0.000854
18,777.471,0.99762,1.00859,1.01056,0.8905,0.96478,0.95333,0.73665,0.92992,1.13909,0.94992,0.00082925,0.00082925,0.00082925
19,827.203,0.97732,0.97356,0.98227,0.88629,0.99525,0.95333,0.7837,0.81558,1.19307,0.90042,0.0008045,0.0008045,0.0008045
20,873.47,1.03582,0.97023,0.99006,0.85239,1,0.95333,0.79611,0.83272,1.06637,0.90583,0.00077975,0.00077975,0.00077975
21,920.295,0.95738,0.92183,0.95701,0.89404,1,0.95333,0.72832,0.87419,1.07102,0.93177,0.000755,0.000755,0.000755
22,963.939,0.95223,0.92143,0.96136,0.8951,1,0.95333,0.75487,0.869,1.00887,0.91214,0.00073025,0.00073025,0.00073025
23,1009.54,0.89875,0.84054,0.94169,0.89563,1,0.95333,0.76622,0.88487,0.91761,0.92645,0.0007055,0.0007055,0.0007055
24,1056.36,0.94956,0.85583,0.95861,0.87447,1,0.995,0.80546,0.88524,0.91747,0.93535,0.00068075,0.00068075,0.00068075
25,1103.19,0.92215,0.85564,0.94875,0.8855,1,0.95333,0.77572,0.79025,0.85758,0.89996,0.000656,0.000656,0.000656
26,1148.48,0.93496,0.86446,0.96774,0.72192,1,0.89283,0.71281,0.86642,1.05822,0.92566,0.00063125,0.00063125,0.00063125
